Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
1.00000000000000e+006	(-4.97785832748387e+001dB,1.22226504905266e+001°)	(-2.75793659329874e-002dB,-3.94744655665245e-002°)	(-2.75793659329893e-002dB,-3.94744655665246e-002°)	(-4.97785832748392e+001dB,1.22226504905292e+001°)
1.01001774583802e+006	(-4.97698404902725e+001dB,1.23343515047036e+001°)	(-2.75954138199883e-002dB,-3.98698371495934e-002°)	(-2.75954138199902e-002dB,-3.98698371495933e-002°)	(-4.97698404902729e+001dB,1.23343515046916e+001°)
1.02013584690772e+006	(-4.97610094952135e+001dB,1.24469772107871e+001°)	(-2.76115424873351e-002dB,-4.02691683462124e-002°)	(-2.76115424873332e-002dB,-4.02691683462126e-002°)	(-4.97610094952143e+001dB,1.24469772107977e+001°)
1.03035530854230e+006	(-4.97520891132973e+001dB,1.25605330905876e+001°)	(-2.76277523507670e-002dB,-4.06724988217129e-002°)	(-2.76277523507660e-002dB,-4.06724988217130e-002°)	(-4.97520891132995e+001dB,1.25605330905952e+001°)
1.04067714614614e+006	(-4.97430781520135e+001dB,1.26750246121286e+001°)	(-2.76440438274069e-002dB,-4.10798686126731e-002°)	(-2.76440438274040e-002dB,-4.10798686126730e-002°)	(-4.97430781520151e+001dB,1.26750246121361e+001°)
1.05110238529567e+006	(-4.97339754036173e+001dB,1.27904572171251e+001°)	(-2.76604173379009e-002dB,-4.14913181705487e-002°)	(-2.76604173379029e-002dB,-4.14913181705488e-002°)	(-4.97339754036134e+001dB,1.27904572171159e+001°)
1.06163206184130e+006	(-4.97247796457243e+001dB,1.29068363255358e+001°)	(-2.76768733094913e-002dB,-4.19068883492463e-002°)	(-2.76768733094913e-002dB,-4.19068883492463e-002°)	(-4.97247796457267e+001dB,1.29068363255385e+001°)
1.07226722201032e+006	(-4.97154896371428e+001dB,1.30241673274302e+001°)	(-2.76934121623021e-002dB,-4.23266204102394e-002°)	(-2.76934121623001e-002dB,-4.23266204102394e-002°)	(-4.97154896371451e+001dB,1.30241673274145e+001°)
1.08300892251087e+006	(-4.97061041227044e+001dB,1.31424555928005e+001°)	(-2.77100343265673e-002dB,-4.27505560131941e-002°)	(-2.77100343265644e-002dB,-4.27505560131941e-002°)	(-4.97061041227050e+001dB,1.31424555928173e+001°)
1.09385823063689e+006	(-4.96966218304504e+001dB,1.32617064478875e+001°)	(-2.77267402315304e-002dB,-4.31787372774630e-002°)	(-2.77267402315323e-002dB,-4.31787372774630e-002°)	(-4.96966218304502e+001dB,1.32617064478762e+001°)
1.10481622437424e+006	(-4.96870414718215e+001dB,1.33819252034215e+001°)	(-2.77435303098737e-002dB,-4.36112066908841e-002°)	(-2.77435303098737e-002dB,-4.36112066908841e-002°)	(-4.96870414718198e+001dB,1.33819252034198e+001°)
1.11588399250775e+006	(-4.96773617431007e+001dB,1.35031171261029e+001°)	(-2.77604049996779e-002dB,-4.40480072074949e-002°)	(-2.77604049996750e-002dB,-4.40480072074949e-002°)	(-4.96773617431032e+001dB,1.35031171261176e+001°)
1.12706263472941e+006	(-4.96675813214516e+001dB,1.36252874500487e+001°)	(-2.77773647336078e-002dB,-4.44891821892973e-002°)	(-2.77773647336059e-002dB,-4.44891821892972e-002°)	(-4.96675813214528e+001dB,1.36252874500643e+001°)
1.13835326174766e+006	(-4.96576988696776e+001dB,1.37484413715258e+001°)	(-2.77944099541965e-002dB,-4.49347754457630e-002°)	(-2.77944099541974e-002dB,-4.49347754457630e-002°)	(-4.96576988696766e+001dB,1.37484413715229e+001°)
1.14975699539773e+006	(-4.96477130329068e+001dB,1.38725840509539e+001°)	(-2.78115411040221e-002dB,-4.53848312089779e-002°)	(-2.78115411040240e-002dB,-4.53848312089779e-002°)	(-4.96477130329056e+001dB,1.38725840509553e+001°)
1.16127496875312e+006	(-4.96376224399727e+001dB,1.39977206039427e+001°)	(-2.78287586296724e-002dB,-4.58393941679284e-002°)	(-2.78287586296695e-002dB,-4.58393941679284e-002°)	(-4.96376224399766e+001dB,1.39977206039673e+001°)
1.17290832623815e+006	(-4.96274257011327e+001dB,1.41238560998891e+001°)	(-2.78460629747604e-002dB,-4.62985094591993e-002°)	(-2.78460629747643e-002dB,-4.62985094591993e-002°)	(-4.96274257011356e+001dB,1.41238560998918e+001°)
1.18465822374170e+006	(-4.96171214111009e+001dB,1.42509955698155e+001°)	(-2.78634545913056e-002dB,-4.67622226556780e-002°)	(-2.78634545913056e-002dB,-4.67622226556779e-002°)	(-4.96171214111005e+001dB,1.42509955698102e+001°)
1.19652582873207e+006	(-4.96067081474591e+001dB,1.43791439925689e+001°)	(-2.78809339334388e-002dB,-4.72305798008450e-002°)	(-2.78809339334378e-002dB,-4.72305798008451e-002°)	(-4.96067081474572e+001dB,1.43791439925709e+001°)
1.20851232037294e+006	(-4.95961844700035e+001dB,1.45083062958108e+001°)	(-2.78985014560080e-002dB,-4.77036273998762e-002°)	(-2.78985014560109e-002dB,-4.77036273998761e-002°)	(-4.95961844700045e+001dB,1.45083062958181e+001°)
1.22061888964055e+006	(-4.95855489211224e+001dB,1.46384873570397e+001°)	(-2.79161576164682e-002dB,-4.81814124160277e-002°)	(-2.79161576164701e-002dB,-4.81814124160277e-002°)	(-4.95855489211239e+001dB,1.46384873570471e+001°)
1.23284673944206e+006	(-4.95748000255810e+001dB,1.47696919996437e+001°)	(-2.79339028742542e-002dB,-4.86639822798115e-002°)	(-2.79339028742581e-002dB,-4.86639822798116e-002°)	(-4.95748000255810e+001dB,1.47696919996605e+001°)
1.24519708473503e+006	(-4.95639362922218e+001dB,1.49019249858853e+001°)	(-2.79517376959260e-002dB,-4.91513849188440e-002°)	(-2.79517376959260e-002dB,-4.91513849188438e-002°)	(-4.95639362922264e+001dB,1.49019249858925e+001°)
1.25767115264815e+006	(-4.95529562096220e+001dB,1.50351910254523e+001°)	(-2.79696625427502e-002dB,-4.96436687030558e-002°)	(-2.79696625427502e-002dB,-4.96436687030558e-002°)	(-4.95529562096219e+001dB,1.50351910254541e+001°)
1.27027018260320e+006	(-4.95418582513106e+001dB,1.51694947609658e+001°)	(-2.79876778862619e-002dB,-5.01408825184164e-002°)	(-2.79876778862639e-002dB,-5.01408825184163e-002°)	(-4.95418582513083e+001dB,1.51694947609638e+001°)
1.28299542643814e+006	(-4.95306408728211e+001dB,1.53048407725217e+001°)	(-2.80057841998158e-002dB,-5.06430757328642e-002°)	(-2.80057841998148e-002dB,-5.06430757328641e-002°)	(-4.95306408728216e+001dB,1.53048407725229e+001°)
1.29584814853154e+006	(-4.95193025104111e+001dB,1.54412335746253e+001°)	(-2.80239819545452e-002dB,-5.11502981956368e-002°)	(-2.80239819545462e-002dB,-5.11502981956369e-002°)	(-4.95193025104134e+001dB,1.54412335746412e+001°)
1.30882962592820e+006	(-4.95078415836102e+001dB,1.55786776088589e+001°)	(-2.80422716271302e-002dB,-5.16626002727757e-002°)	(-2.80422716271273e-002dB,-5.16626002727757e-002°)	(-4.95078415836113e+001dB,1.55786776088626e+001°)
1.32194114846603e+006	(-4.94962564945970e+001dB,1.57171772497966e+001°)	(-2.80606536990794e-002dB,-5.21800328212239e-002°)	(-2.80606536990794e-002dB,-5.21800328212239e-002°)	(-4.94962564945974e+001dB,1.57171772498008e+001°)
1.33518401890418e+006	(-4.94845456269807e+001dB,1.58567367932431e+001°)	(-2.80791286516586e-002dB,-5.27026472164932e-002°)	(-2.80791286516605e-002dB,-5.27026472164932e-002°)	(-4.94845456269817e+001dB,1.58567367932343e+001°)
1.34855955305256e+006	(-4.94727073465310e+001dB,1.59973604619841e+001°)	(-2.80976969694834e-002dB,-5.32304953347414e-002°)	(-2.80976969694902e-002dB,-5.32304953347414e-002°)	(-4.94727073465259e+001dB,1.59973604619643e+001°)
1.36206907990248e+006	(-4.94607400024161e+001dB,1.61390523952869e+001°)	(-2.81163591435987e-002dB,-5.37636295910964e-002°)	(-2.81163591435997e-002dB,-5.37636295910964e-002°)	(-4.94607400024139e+001dB,1.61390523952677e+001°)
1.37571394175877e+006	(-4.94486419246304e+001dB,1.62818166523887e+001°)	(-2.81351156639602e-002dB,-5.43021029088366e-002°)	(-2.81351156639592e-002dB,-5.43021029088366e-002°)	(-4.94486419246308e+001dB,1.62818166523792e+001°)
