Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
1.00000000000000e+006	(-5.15011456936643e+001dB,1.36206229949122e+001°)	(-2.24852112797313e-002dB,-3.59886613678800e-002°)	(-2.24852112797275e-002dB,-3.59886613678799e-002°)	(-5.15011456936677e+001dB,1.36206229949216e+001°)
1.01001774583802e+006	(-5.14928823212372e+001dB,1.37463703426655e+001°)	(-2.24945682517677e-002dB,-3.63491475350137e-002°)	(-2.24945682517667e-002dB,-3.63491475350137e-002°)	(-5.14928823212383e+001dB,1.37463703426559e+001°)
1.02013584690772e+006	(-5.14845185711278e+001dB,1.38731611382068e+001°)	(-2.25039724903453e-002dB,-3.67132443628689e-002°)	(-2.25039724903424e-002dB,-3.67132443628689e-002°)	(-5.14845185711339e+001dB,1.38731611382425e+001°)
1.03035530854230e+006	(-5.14760529807111e+001dB,1.40010011749673e+001°)	(-2.25134242352562e-002dB,-3.70809880318224e-002°)	(-2.25134242352562e-002dB,-3.70809880318226e-002°)	(-5.14760529807139e+001dB,1.40010011749701e+001°)
1.04067714614614e+006	(-5.14674840714793e+001dB,1.41298962250712e+001°)	(-2.25229237388862e-002dB,-3.74524150445655e-002°)	(-2.25229237388804e-002dB,-3.74524150445652e-002°)	(-5.14674840714814e+001dB,1.41298962250930e+001°)
1.05110238529567e+006	(-5.14588103443802e+001dB,1.42598519990681e+001°)	(-2.25324712506628e-002dB,-3.78275623094878e-002°)	(-2.25324712506599e-002dB,-3.78275623094876e-002°)	(-5.14588103443847e+001dB,1.42598519990880e+001°)
1.06163206184130e+006	(-5.14500302798553e+001dB,1.43908741696639e+001°)	(-2.25420670201099e-002dB,-3.82064670765582e-002°)	(-2.25420670201079e-002dB,-3.82064670765583e-002°)	(-5.14500302798592e+001dB,1.43908741696784e+001°)
1.07226722201032e+006	(-5.14411423390828e+001dB,1.45229683563925e+001°)	(-2.25517112991152e-002dB,-3.85891669804079e-002°)	(-2.25517112991133e-002dB,-3.85891669804079e-002°)	(-5.14411423390867e+001dB,1.45229683563900e+001°)
1.08300892251087e+006	(-5.14321449641986e+001dB,1.46561401300917e+001°)	(-2.25614043435076e-002dB,-3.89757000273531e-002°)	(-2.25614043435076e-002dB,-3.89757000273532e-002°)	(-5.14321449641998e+001dB,1.46561401300798e+001°)
1.09385823063689e+006	(-5.14230365764057e+001dB,1.47903950039654e+001°)	(-2.25711464078230e-002dB,-3.93661046078494e-002°)	(-2.25711464078210e-002dB,-3.93661046078495e-002°)	(-5.14230365764084e+001dB,1.47903950039545e+001°)
1.10481622437424e+006	(-5.14138155772806e+001dB,1.49257384357771e+001°)	(-2.25809377494274e-002dB,-3.97604194939202e-002°)	(-2.25809377494254e-002dB,-3.97604194939203e-002°)	(-5.14138155772856e+001dB,1.49257384357836e+001°)
1.11588399250775e+006	(-5.14044803474199e+001dB,1.50621758196167e+001°)	(-2.25907786247181e-002dB,-4.01586838517907e-002°)	(-2.25907786247161e-002dB,-4.01586838517908e-002°)	(-5.14044803474215e+001dB,1.50621758196158e+001°)
1.12706263472941e+006	(-5.13950292490192e+001dB,1.51997124921883e+001°)	(-2.26006692970614e-002dB,-4.05609372344576e-002°)	(-2.26006692970576e-002dB,-4.05609372344577e-002°)	(-5.13950292490250e+001dB,1.51997124922095e+001°)
1.13835326174766e+006	(-5.13854606210421e+001dB,1.53383537183166e+001°)	(-2.26106100231237e-002dB,-4.09672195942462e-002°)	(-2.26106100231218e-002dB,-4.09672195942464e-002°)	(-5.13854606210414e+001dB,1.53383537183148e+001°)
1.14975699539773e+006	(-5.13757727855511e+001dB,1.54781047017833e+001°)	(-2.26206010711724e-002dB,-4.13775712808798e-002°)	(-2.26206010711714e-002dB,-4.13775712808797e-002°)	(-5.13757727855523e+001dB,1.54781047017890e+001°)
