Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
1.00000000000000e+006	(-4.49778670033959e+001dB,6.35738384827198e+000°)	(-4.88029815740488e-002dB,-3.59694467703301e-002°)	(-4.88029815740498e-002dB,-3.59694467703301e-002°)	(-4.49778670033920e+001dB,6.35738384827839e+000°)
2.04975000000000e+007	(-3.68546562798279e+001dB,6.27820216663900e+001°)	(-5.65335017647171e-002dB,-7.36653941165693e-001°)	(-5.65335017647210e-002dB,-7.36653941165693e-001°)	(-3.68546562798285e+001dB,6.27820216663851e+001°)
3.99950000000000e+007	(-3.17073938873819e+001dB,7.33630455731475e+001°)	(-6.21173464824649e-002dB,-1.43658863561078e+000°)	(-6.21173464824669e-002dB,-1.43658863561078e+000°)	(-3.17073938873809e+001dB,7.33630455731500e+001°)
5.94925000000000e+007	(-2.84174426830960e+001dB,7.70415514040076e+001°)	(-6.81834224363658e-002dB,-2.13578128726354e+000°)	(-6.81834224363658e-002dB,-2.13578128726354e+000°)	(-2.84174426830956e+001dB,7.70415514040083e+001°)
7.89900000000000e+007	(-2.60217374904082e+001dB,7.86685069539533e+001°)	(-7.51125265635866e-002dB,-2.83412574253618e+000°)	(-7.51125265635875e-002dB,-2.83412574253617e+000°)	(-2.60217374904082e+001dB,7.86685069539532e+001°)
9.84875000000000e+007	(-2.41428871732413e+001dB,7.94189341616460e+001°)	(-8.30522960152527e-002dB,-3.53148765728404e+000°)	(-8.30522960152537e-002dB,-3.53148765728404e+000°)	(-2.41428871732412e+001dB,7.94189341616461e+001°)
1.17985000000000e+008	(-2.25995708523743e+001dB,7.97144394875974e+001°)	(-9.20762678870998e-002dB,-4.22772082870578e+000°)	(-9.20762678871017e-002dB,-4.22772082870578e+000°)	(-2.25995708523744e+001dB,7.97144394875969e+001°)
1.37482500000000e+008	(-2.12914292935299e+001dB,7.97434930864945e+001°)	(-1.02225483403581e-001dB,-4.92267333993390e+000°)	(-1.02225483403584e-001dB,-4.92267333993390e+000°)	(-2.12914292935294e+001dB,7.97434930864947e+001°)
1.56980000000000e+008	(-2.01572586884198e+001dB,7.96031186904071e+001°)	(-1.13523905196715e-001dB,-5.61619057307787e+000°)	(-1.13523905196717e-001dB,-5.61619057307786e+000°)	(-2.01572586884198e+001dB,7.96031186904071e+001°)
1.76477500000000e+008	(-1.91570309342128e+001dB,7.93484517372418e+001°)	(-1.25985357696254e-001dB,-6.30811694943056e+000°)	(-1.25985357696255e-001dB,-6.30811694943056e+000°)	(-1.91570309342135e+001dB,7.93484517372412e+001°)
1.95975000000000e+008	(-1.82631509755958e+001dB,7.90132083194378e+001°)	(-1.39617079795399e-001dB,-6.99829705823102e+000°)	(-1.39617079795401e-001dB,-6.99829705823102e+000°)	(-1.82631509755964e+001dB,7.90132083194374e+001°)
2.15472500000000e+008	(-1.74557969162584e+001dB,7.86192110642562e+001°)	(-1.54421720660329e-001dB,-7.68657645535952e+000°)	(-1.54421720660327e-001dB,-7.68657645535952e+000°)	(-1.74557969162584e+001dB,7.86192110642561e+001°)
2.34970000000000e+008	(-1.67202534387891e+001dB,7.81812408405998e+001°)	(-1.70398544383036e-001dB,-8.37280226710512e+000°)	(-1.70398544383033e-001dB,-8.37280226710512e+000°)	(-1.67202534387890e+001dB,7.81812408405998e+001°)
2.54467500000000e+008	(-1.60452970996026e+001dB,7.77096890516187e+001°)	(-1.87544200744828e-001dB,-9.05682366991788e+000°)	(-1.87544200744830e-001dB,-9.05682366991788e+000°)	(-1.60452970996031e+001dB,7.77096890516182e+001°)
2.73965000000000e+008	(-1.54221724520867e+001dB,7.72120927710191e+001°)	(-2.05853243341715e-001dB,-9.73849228594782e+000°)	(-2.05853243341715e-001dB,-9.73849228594782e+000°)	(-1.54221724520871e+001dB,7.72120927710189e+001°)
2.93462500000000e+008	(-1.48439174708764e+001dB,7.66940661151096e+001°)	(-2.25318493326445e-001dB,-1.04176625179392e+001°)	(-2.25318493326443e-001dB,-1.04176625179392e+001°)	(-1.48439174708761e+001dB,7.66940661151098e+001°)
3.12960000000000e+008	(-1.43049045130504e+001dB,7.61598880915110e+001°)	(-2.45931304977250e-001dB,-1.10941918380543e+001°)	(-2.45931304977249e-001dB,-1.10941918380543e+001°)	(-1.43049045130507e+001dB,7.61598880915109e+001°)
3.32457500000000e+008	(-1.38005191925587e+001dB,7.56128863319586e+001°)	(-2.67681766713066e-001dB,-1.17679410399781e+001°)	(-2.67681766713062e-001dB,-1.17679410399781e+001°)	(-1.38005191925592e+001dB,7.56128863319584e+001°)
3.51955000000000e+008	(-1.33269302946578e+001dB,7.50556949614262e+001°)	(-2.90558858421749e-001dB,-1.24387744604920e+001°)	(-2.90558858421749e-001dB,-1.24387744604920e+001°)	(-1.33269302946576e+001dB,7.50556949614263e+001°)
