Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
1.00000000000000e+006	(-4.49912349352570e+001dB,6.35236771558394e+000°)	(-4.87282004775383e-002dB,-3.58856010849835e-002°)	(-4.87282004775354e-002dB,-3.58856010849833e-002°)	(-4.49912349352645e+001dB,6.35236771558521e+000°)
2.04975000000000e+007	(-3.68811275336579e+001dB,6.28695111856959e+001°)	(-5.61919355781453e-002dB,-7.34959251981004e-001°)	(-5.61919355781502e-002dB,-7.34959251981004e-001°)	(-3.68811275336570e+001dB,6.28695111857013e+001°)
3.99950000000000e+007	(-3.17306231100754e+001dB,7.34483290961775e+001°)	(-6.16325410684987e-002dB,-1.43330679292344e+000°)	(-6.16325410685007e-002dB,-1.43330679292344e+000°)	(-3.17306231100757e+001dB,7.34483290961764e+001°)
5.94925000000000e+007	(-2.84393157611467e+001dB,7.71201465336981e+001°)	(-6.75800762524283e-002dB,-2.13092984451085e+000°)	(-6.75800762524312e-002dB,-2.13092984451085e+000°)	(-2.84393157611469e+001dB,7.71201465336971e+001°)
7.89900000000000e+007	(-2.60428863977490e+001dB,7.87419699941745e+001°)	(-7.44009642546032e-002dB,-2.82772066927489e+000°)	(-7.44009642546071e-002dB,-2.82772066927489e+000°)	(-2.60428863977498e+001dB,7.87419699941728e+001°)
9.84875000000000e+007	(-2.41635748351374e+001dB,7.94886918425328e+001°)	(-8.22372053543355e-002dB,-3.52354448519317e+000°)	(-8.22372053543345e-002dB,-3.52354448519316e+000°)	(-2.41635748351375e+001dB,7.94886918425331e+001°)
1.17985000000000e+008	(-2.26199272153336e+001dB,7.97815221969448e+001°)	(-9.11594585616569e-002dB,-4.21825515506564e+000°)	(-9.11594585616569e-002dB,-4.21825515506564e+000°)	(-2.26199272153332e+001dB,7.97815221969453e+001°)
1.37482500000000e+008	(-2.13115262950385e+001dB,7.98086398823823e+001°)	(-1.01207082429592e-001dB,-4.91170109426184e+000°)	(-1.01207082429592e-001dB,-4.91170109426184e+000°)	(-2.13115262950386e+001dB,7.98086398823824e+001°)
1.56980000000000e+008	(-2.01771392928803e+001dB,7.96668715550220e+001°)	(-1.12402973251969e-001dB,-5.60372817151273e+000°)	(-1.12402973251971e-001dB,-5.60372817151273e+000°)	(-2.01771392928806e+001dB,7.96668715550217e+001°)
1.76477500000000e+008	(-1.91767221421225e+001dB,7.94112180195562e+001°)	(-1.24760245013830e-001dB,-6.29418138739552e+000°)	(-1.24760245013829e-001dB,-6.29418138739551e+000°)	(-1.91767221421229e+001dB,7.94112180195559e+001°)
1.95975000000000e+008	(-1.82826703190854e+001dB,7.90753009234670e+001°)	(-1.38285648989628e-001dB,-6.98290596554220e+000°)	(-1.38285648989623e-001dB,-6.98290596554220e+000°)	(-1.82826703190855e+001dB,7.90753009234671e+001°)
2.15472500000000e+008	(-1.74751559841570e+001dB,7.86808747488874e+001°)	(-1.52981495041796e-001dB,-7.66974812671602e+000°)	(-1.52981495041797e-001dB,-7.66974812671602e+000°)	(-1.74751559841571e+001dB,7.86808747488871e+001°)
2.34970000000000e+008	(-1.67394599202851e+001dB,7.82426698928584e+001°)	(-1.68846811541841e-001dB,-8.35455567549697e+000°)	(-1.68846811541843e-001dB,-8.35455567549697e+000°)	(-1.67394599202855e+001dB,7.82426698928580e+001°)
2.54467500000000e+008	(-1.60643560344256e+001dB,7.77710394924555e+001°)	(-1.85878087752158e-001dB,-9.03717846763987e+000°)	(-1.85878087752158e-001dB,-9.03717846763987e+000°)	(-1.60643560344259e+001dB,7.77710394924555e+001°)
2.73965000000000e+008	(-1.54410870301464e+001dB,7.72734910044056e+001°)	(-2.04069773106685e-001dB,-9.71746879630673e+000°)	(-2.04069773106683e-001dB,-9.71746879630673e+000°)	(-1.54410870301465e+001dB,7.72734910044056e+001°)
2.93462500000000e+008	(-1.48626895633346e+001dB,7.67556152019204e+001°)	(-2.23414627952094e-001dB,-1.03952817197865e+001°)	(-2.23414627952095e-001dB,-1.03952817197865e+001°)	(-1.48626895633349e+001dB,7.67556152019202e+001°)
3.12960000000000e+008	(-1.43235350365562e+001dB,7.62216723975277e+001°)	(-2.43903979843093e-001dB,-1.10704753446792e+001°)	(-2.43903979843094e-001dB,-1.10704753446792e+001°)	(-1.43235350365563e+001dB,7.62216723975276e+001°)
3.32457500000000e+008	(-1.38190083660922e+001dB,7.56749750373931e+001°)	(-2.65527917742568e-001dB,-1.17429110735053e+001°)	(-2.65527917742565e-001dB,-1.17429110735053e+001°)	(-1.38190083660926e+001dB,7.56749750373930e+001°)
3.51955000000000e+008	(-1.33452778250898e+001dB,7.51181447569357e+001°)	(-2.88275444214285e-001dB,-1.24124538226794e+001°)	(-2.88275444214288e-001dB,-1.24124538226794e+001°)	(-1.33452778250895e+001dB,7.51181447569358e+001°)
