Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
1.00000000000000e+006	(-5.53703914066398e+001dB,2.17481532769200e+001°)	(-1.37567575537370e-002dB,-3.62335908287888e-002°)	(-1.37567575537370e-002dB,-3.62335908287888e-002°)	(-5.53703914066431e+001dB,2.17481532769273e+001°)
1.01232310441706e+006	(-5.53490445681129e+001dB,2.19731337254895e+001°)	(-1.37688682142186e-002dB,-3.66800500781259e-002°)	(-1.37688682142157e-002dB,-3.66800500781257e-002°)	(-5.53490445681121e+001dB,2.19731337254830e+001°)
1.02479806773660e+006	(-5.53273923394029e+001dB,2.21998667467377e+001°)	(-1.37810540556802e-002dB,-3.71320101499444e-002°)	(-1.37810540556783e-002dB,-3.71320101499441e-002°)	(-5.53273923394055e+001dB,2.21998667467359e+001°)
1.03742676133172e+006	(-5.53054304552321e+001dB,2.24283503841374e+001°)	(-1.37933155570905e-002dB,-3.75895388046346e-002°)	(-1.37933155570886e-002dB,-3.75895388046346e-002°)	(-5.53054304552375e+001dB,2.24283503841475e+001°)
1.05021107963667e+006	(-5.52831546251519e+001dB,2.26585821981769e+001°)	(-1.38056532003706e-002dB,-3.80527046419185e-002°)	(-1.38056532003677e-002dB,-3.80527046419184e-002°)	(-5.52831546251523e+001dB,2.26585821981696e+001°)
1.06315294043098e+006	(-5.52605605400265e+001dB,2.28905592645554e+001°)	(-1.38180674794191e-002dB,-3.85215771214406e-002°)	(-1.38180674794211e-002dB,-3.85215771214406e-002°)	(-5.52605605400276e+001dB,2.28905592645578e+001°)
1.07625428512722e+006	(-5.52376438634305e+001dB,2.31242781566946e+001°)	(-1.38305588834079e-002dB,-3.89962265422691e-002°)	(-1.38305588834069e-002dB,-3.89962265422691e-002°)	(-5.52376438634329e+001dB,2.31242781567127e+001°)
1.08951707906216e+006	(-5.52144002393479e+001dB,2.33597349355058e+001°)	(-1.38431279065977e-002dB,-3.94767240818442e-002°)	(-1.38431279065987e-002dB,-3.94767240818443e-002°)	(-5.52144002393487e+001dB,2.33597349354943e+001°)
1.10294331179161e+006	(-5.51908252942266e+001dB,2.35969251575908e+001°)	(-1.38557750511023e-002dB,-3.99631417815152e-002°)	(-1.38557750510994e-002dB,-3.99631417815151e-002°)	(-5.51908252942285e+001dB,2.35969251575800e+001°)
1.11653499738892e+006	(-5.51669146344431e+001dB,2.38358438431770e+001°)	(-1.38685008179158e-002dB,-4.04555525753961e-002°)	(-1.38685008179148e-002dB,-4.04555525753960e-002°)	(-5.51669146344438e+001dB,2.38358438431666e+001°)
1.13029417474705e+006	(-5.51426638513724e+001dB,2.40764854796604e+001°)	(-1.38813057137536e-002dB,-4.09540302969044e-002°)	(-1.38813057137488e-002dB,-4.09540302969042e-002°)	(-5.51426638513763e+001dB,2.40764854796742e+001°)
1.14422290788445e+006	(-5.51180685218348e+001dB,2.43188440073645e+001°)	(-1.38941902484212e-002dB,-4.14586496929967e-002°)	(-1.38941902484222e-002dB,-4.14586496929966e-002°)	(-5.51180685218363e+001dB,2.43188440073774e+001°)
1.15832328625471e+006	(-5.50931242094077e+001dB,2.45629128154943e+001°)	(-1.39071549346868e-002dB,-4.19694864259883e-002°)	(-1.39071549346868e-002dB,-4.19694864259885e-002°)	(-5.50931242094088e+001dB,2.45629128154962e+001°)
1.17259742505994e+006	(-5.50678264688794e+001dB,2.48086847363367e+001°)	(-1.39202002927515e-002dB,-4.24866170935980e-002°)	(-1.39202002927515e-002dB,-4.24866170935979e-002°)	(-5.50678264688816e+001dB,2.48086847363401e+001°)
1.18704746556813e+006	(-5.50421708430859e+001dB,2.50561520294202e+001°)	(-1.39333268413573e-002dB,-4.30101192285545e-002°)	(-1.39333268413563e-002dB,-4.30101192285546e-002°)	(-5.50421708430881e+001dB,2.50561520294233e+001°)
1.20167557543434e+006	(-5.50161528709546e+001dB,2.53053063786315e+001°)	(-1.39465351081592e-002dB,-4.35400713320859e-002°)	(-1.39465351081563e-002dB,-4.35400713320858e-002°)	(-5.50161528709596e+001dB,2.53053063786463e+001°)
1.21648394902585e+006	(-5.49897680832181e+001dB,2.55561388837590e+001°)	(-1.39598256195222e-002dB,-4.40765528562126e-002°)	(-1.39598256195222e-002dB,-4.40765528562124e-002°)	(-5.49897680832176e+001dB,2.55561388837650e+001°)
1.23147480775137e+006	(-5.49630120109748e+001dB,2.58086400517917e+001°)	(-1.39731989108964e-002dB,-4.46196442505552e-002°)	(-1.39731989108993e-002dB,-4.46196442505555e-002°)	(-5.49630120109749e+001dB,2.58086400518059e+001°)
1.24665040039428e+006	(-5.49358801821219e+001dB,2.60627997888428e+001°)	(-1.39866555174939e-002dB,-4.51694269477698e-002°)	(-1.39866555174900e-002dB,-4.51694269477698e-002°)	(-5.49358801821237e+001dB,2.60627997888356e+001°)
1.26201300344991e+006	(-5.49083681263467e+001dB,2.63186074058506e+001°)	(-1.40001959803452e-002dB,-4.57259833700544e-002°)	(-1.40001959803442e-002dB,-4.57259833700543e-002°)	(-5.49083681263464e+001dB,2.63186074058230e+001°)
1.27756492146711e+006	(-5.48804713779982e+001dB,2.65760515960606e+001°)	(-1.40138208454717e-002dB,-4.62893969714624e-002°)	(-1.40138208454697e-002dB,-4.62893969714625e-002°)	(-5.48804713779974e+001dB,2.65760515960243e+001°)
1.29330848739393e+006	(-5.48521854778055e+001dB,2.68351204419900e+001°)	(-1.40275306645229e-002dB,-4.68597522270317e-002°)	(-1.40275306645210e-002dB,-4.68597522270315e-002°)	(-5.48521854778060e+001dB,2.68351204419991e+001°)
1.30924606292756e+006	(-5.48235059713116e+001dB,2.70958013847284e+001°)	(-1.40413259853769e-002dB,-4.74371346652735e-002°)	(-1.40413259853798e-002dB,-4.74371346652735e-002°)	(-5.48235059713099e+001dB,2.70958013847044e+001°)
1.32538003886864e+006	(-5.47944284185579e+001dB,2.73580812649294e+001°)	(-1.40552073697366e-002dB,-4.80216308456262e-002°)	(-1.40552073697327e-002dB,-4.80216308456262e-002°)	(-5.47944284185593e+001dB,2.73580812649263e+001°)
1.34171283547991e+006	(-5.47649483902479e+001dB,2.76219462756200e+001°)	(-1.40691753776564e-002dB,-4.86133284066934e-002°)	(-1.40691753776487e-002dB,-4.86133284066933e-002°)	(-5.47649483902510e+001dB,2.76219462756410e+001°)
1.35824690284924e+006	(-5.47350614730080e+001dB,2.78873819733654e+001°)	(-1.40832305740054e-002dB,-4.92123160695134e-002°)	(-1.40832305740054e-002dB,-4.92123160695135e-002°)	(-5.47350614730095e+001dB,2.78873819733765e+001°)
1.37498472125720e+006	(-5.47047632728733e+001dB,2.81543732809328e+001°)	(-1.40973735309105e-002dB,-4.98186836461395e-002°)	(-1.40973735309096e-002dB,-4.98186836461396e-002°)	(-5.47047632728756e+001dB,2.81543732809344e+001°)
1.39192880154912e+006	(-5.46740494145782e+001dB,2.84229044802690e+001°)	(-1.41116048219446e-002dB,-5.04325220406702e-002°)	(-1.41116048219455e-002dB,-5.04325220406703e-002°)	(-5.46740494145788e+001dB,2.84229044802765e+001°)
1.40908168551173e+006	(-5.46429155480492e+001dB,2.86929591994666e+001°)	(-1.41259250271290e-002dB,-5.10539233018785e-002°)	(-1.41259250271252e-002dB,-5.10539233018785e-002°)	(-5.46429155480527e+001dB,2.86929591994821e+001°)
1.42644594625446e+006	(-5.46113573469949e+001dB,2.89645204238736e+001°)	(-1.41403347280801e-002dB,-5.16829805917887e-002°)	(-1.41403347280763e-002dB,-5.16829805917887e-002°)	(-5.46113573469967e+001dB,2.89645204238667e+001°)
1.44402418859545e+006	(-5.45793705161576e+001dB,2.92375704944483e+001°)	(-1.41548345155512e-002dB,-5.23197882263142e-002°)	(-1.41548345155512e-002dB,-5.23197882263142e-002°)	(-5.45793705161575e+001dB,2.92375704944486e+001°)
1.46181904945227e+006	(-5.45469507897330e+001dB,2.95120910905962e+001°)	(-1.41694249802242e-002dB,-5.29644416902525e-002°)	(-1.41694249802251e-002dB,-5.29644416902525e-002°)	(-5.45469507897336e+001dB,2.95120910905898e+001°)
1.47983319823752e+006	(-5.45140939370904e+001dB,2.97880632519022e+001°)	(-1.41841067206482e-002dB,-5.36170376327430e-002°)	(-1.41841067206453e-002dB,-5.36170376327430e-002°)	(-5.45140939370903e+001dB,2.97880632519031e+001°)
1.49806933725924e+006	(-5.44807957633812e+001dB,3.00654673584059e+001°)	(-1.41988803369760e-002dB,-5.42776739008816e-002°)	(-1.41988803369750e-002dB,-5.42776739008815e-002°)	(-5.44807957633815e+001dB,3.00654673584030e+001°)
1.51653020212629e+006	(-5.44470521152338e+001dB,3.03442831456380e+001°)	(-1.42137464377572e-002dB,-5.49464495485923e-002°)	(-1.42137464377553e-002dB,-5.49464495485924e-002°)	(-5.44470521152361e+001dB,3.03442831456382e+001°)
1.53521856215872e+006	(-5.44128588799895e+001dB,3.06244896974264e+001°)	(-1.42287056328777e-002dB,-5.56234648428864e-002°)	(-1.42287056328796e-002dB,-5.56234648428864e-002°)	(-5.44128588799911e+001dB,3.06244896974090e+001°)
1.55413722080321e+006	(-5.43782119915327e+001dB,3.09060654561687e+001°)	(-1.42437585397412e-002dB,-5.63088212836326e-002°)	(-1.42437585397412e-002dB,-5.63088212836327e-002°)	(-5.43782119915341e+001dB,3.09060654561663e+001°)
1.57328901605361e+006	(-5.43431074309154e+001dB,3.11889882092166e+001°)	(-1.42589057771933e-002dB,-5.70026216309571e-002°)	(-1.42589057771933e-002dB,-5.70026216309571e-002°)	(-5.43431074309147e+001dB,3.11889882091987e+001°)
1.59267682087666e+006	(-5.43075412323892e+001dB,3.14732351090586e+001°)	(-1.42741479733184e-002dB,-5.77049699130628e-002°)	(-1.42741479733164e-002dB,-5.77049699130628e-002°)	(-5.43075412323878e+001dB,3.14732351090112e+001°)
1.61230354364296e+006	(-5.42715094830966e+001dB,3.17587826754068e+001°)	(-1.42894857599808e-002dB,-5.84159714238098e-002°)	(-1.42894857599817e-002dB,-5.84159714238097e-002°)	(-5.42715094830975e+001dB,3.17587826753716e+001°)
1.63217212856327e+006	(-5.42350083275320e+001dB,3.20456067933020e+001°)	(-1.43049197745285e-002dB,-5.91357327591286e-002°)	(-1.43049197745266e-002dB,-5.91357327591286e-002°)	(-5.42350083275344e+001dB,3.20456067933386e+001°)
1.65228555613017e+006	(-5.41980339680953e+001dB,3.23336827007710e+001°)	(-1.43204506531455e-002dB,-5.98643618458931e-002°)	(-1.43204506531446e-002dB,-5.98643618458931e-002°)	(-5.41980339680967e+001dB,3.23336827007929e+001°)
1.67264684356517e+006	(-5.41605826721249e+001dB,3.26229850386773e+001°)	(-1.43360790446917e-002dB,-6.06019679132537e-002°)	(-1.43360790446917e-002dB,-6.06019679132538e-002°)	(-5.41605826721246e+001dB,3.26229850386925e+001°)
1.69325904527129e+006	(-5.41226507724538e+001dB,3.29134878182433e+001°)	(-1.43518056007742e-002dB,-6.13486615578681e-002°)	(-1.43518056007722e-002dB,-6.13486615578681e-002°)	(-5.41226507724554e+001dB,3.29134878182397e+001°)
1.71412525329131e+006	(-5.40842346709616e+001dB,3.32051644549877e+001°)	(-1.43676309812019e-002dB,-6.21045547208431e-002°)	(-1.43676309812009e-002dB,-6.21045547208431e-002°)	(-5.40842346709653e+001dB,3.32051644550203e+001°)
1.73524859777154e+006	(-5.40453308376514e+001dB,3.34979877459105e+001°)	(-1.43835558427968e-002dB,-6.28697607282133e-002°)	(-1.43835558427910e-002dB,-6.28697607282134e-002°)	(-5.40453308376525e+001dB,3.34979877459223e+001°)
1.75663224743144e+006	(-5.40059358221920e+001dB,3.37919299097441e+001°)	(-1.43995808590320e-002dB,-6.36443943176358e-002°)	(-1.43995808590320e-002dB,-6.36443943176358e-002°)	(-5.40059358221948e+001dB,3.37919299097625e+001°)
1.77827941003891e+006	(-5.39660462457703e+001dB,3.40869625772737e+001°)	(-1.44157066988423e-002dB,-6.44285716079571e-002°)	(-1.44157066988442e-002dB,-6.44285716079573e-002°)	(-5.39660462457698e+001dB,3.40869625772785e+001°)
1.80019333289154e+006	(-5.39256588137137e+001dB,3.43830568060107e+001°)	(-1.44319340437541e-002dB,-6.52224101801838e-002°)	(-1.44319340437522e-002dB,-6.52224101801836e-002°)	(-5.39256588137119e+001dB,3.43830568060048e+001°)
1.82237730330366e+006	(-5.38847703120256e+001dB,3.46801830931678e+001°)	(-1.44482635780401e-002dB,-6.60260290457459e-002°)	(-1.44482635780372e-002dB,-6.60260290457458e-002°)	(-5.38847703120255e+001dB,3.46801830931685e+001°)
1.84483464909955e+006	(-5.38433776127124e+001dB,3.49783113863642e+001°)	(-1.44646959930309e-002dB,-6.68395486845254e-002°)	(-1.44646959930299e-002dB,-6.68395486845254e-002°)	(-5.38433776127135e+001dB,3.49783113863976e+001°)
1.86756873911262e+006	(-5.38014776741533e+001dB,3.52774110852656e+001°)	(-1.44812319815092e-002dB,-6.76630910625523e-002°)	(-1.44812319815102e-002dB,-6.76630910625522e-002°)	(-5.38014776741528e+001dB,3.52774110852817e+001°)
1.89058298369075e+006	(-5.37590675479948e+001dB,3.55774510751248e+001°)	(-1.44978722485939e-002dB,-6.84967796482261e-002°)	(-1.44978722485959e-002dB,-6.84967796482260e-002°)	(-5.37590675479952e+001dB,3.55774510751531e+001°)
