Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
1.00000000000000e+006	(-5.60800608271213e+001dB,2.47989409805069e+001°)	(-1.23890465368275e-002dB,-3.77923638258915e-002°)	(-1.23890465368284e-002dB,-3.77923638258914e-002°)	(-5.60800608271240e+001dB,2.47989409805066e+001°)
1.51766169154229e+007	(-3.98205749771432e+001dB,7.79327343749656e+001°)	(-1.81228665197859e-002dB,-5.73195770578670e-001°)	(-1.81228665197879e-002dB,-5.73195770578670e-001°)	(-3.98205749771449e+001dB,7.79327343749646e+001°)
2.93532338308458e+007	(-3.42068427459747e+001dB,8.19524537417281e+001°)	(-2.20986258044185e-002dB,-1.10819063959346e+000°)	(-2.20986258044175e-002dB,-1.10819063959346e+000°)	(-3.42068427459761e+001dB,8.19524537417261e+001°)
4.35298507462687e+007	(-3.08162661329268e+001dB,8.31726030661386e+001°)	(-2.62039580936948e-002dB,-1.64281394950006e+000°)	(-2.62039580936977e-002dB,-1.64281394950006e+000°)	(-3.08162661329277e+001dB,8.31726030661379e+001°)
5.77064676616915e+007	(-2.83835236572265e+001dB,8.35920580124603e+001°)	(-3.07328226598262e-002dB,-2.17703701181111e+000°)	(-3.07328226598291e-002dB,-2.17703701181111e+000°)	(-2.83835236572272e+001dB,8.35920580124595e+001°)
7.18830845771144e+007	(-2.64863258880139e+001dB,8.36665896828347e+001°)	(-3.58014234497583e-002dB,-2.71081412409286e+000°)	(-3.58014234497612e-002dB,-2.71081412409287e+000°)	(-2.64863258880141e+001dB,8.36665896828346e+001°)
8.60597014925373e+007	(-2.49317059012962e+001dB,8.35593474386427e+001°)	(-4.14692467366453e-002dB,-3.24409205232604e+000°)	(-4.14692467366453e-002dB,-3.24409205232604e+000°)	(-2.49317059012979e+001dB,8.35593474386423e+001°)
1.00236318407960e+008	(-2.36152607935989e+001dB,8.33439080599928e+001°)	(-4.77710242165909e-002dB,-3.77681356418040e+000°)	(-4.77710242165890e-002dB,-3.77681356418040e+000°)	(-2.36152607935997e+001dB,8.33439080599929e+001°)
1.14412935323383e+008	(-2.24741037199226e+001dB,8.30585908274311e+001°)	(-5.47286305572664e-002dB,-4.30891912128699e+000°)	(-5.47286305572664e-002dB,-4.30891912128699e+000°)	(-2.24741037199225e+001dB,8.30585908274313e+001°)
1.28589552238806e+008	(-2.14674140797037e+001dB,8.27254368903446e+001°)	(-6.23564504149395e-002dB,-4.84034782198529e+000°)	(-6.23564504149385e-002dB,-4.84034782198529e+000°)	(-2.14674140797052e+001dB,8.27254368903446e+001°)
1.42766169154229e+008	(-2.05671892697618e+001dB,8.23580857266295e+001°)	(-7.06641259571375e-002dB,-5.37103798501228e+000°)	(-7.06641259571385e-002dB,-5.37103798501228e+000°)	(-2.05671892697637e+001dB,8.23580857266293e+001°)
1.56942786069652e+008	(-1.97533839819402e+001dB,8.19654663846126e+001°)	(-7.96580969965982e-002dB,-5.90092754099913e+000°)	(-7.96580969965982e-002dB,-5.90092754099913e+000°)	(-1.97533839819409e+001dB,8.19654663846127e+001°)
1.71119402985075e+008	(-1.90111547863513e+001dB,8.15536922984247e+001°)	(-8.93425258826906e-002dB,-6.42995431229921e+000°)	(-8.93425258826896e-002dB,-6.42995431229920e+000°)	(-1.90111547863521e+001dB,8.15536922984248e+001°)
1.85296019900498e+008	(-1.83292026825009e+001dB,8.11271055572135e+001°)	(-9.97198840292481e-002dB,-6.95805622362558e+000°)	(-9.97198840292491e-002dB,-6.95805622362558e+000°)	(-1.83292026825016e+001dB,8.11271055572135e+001°)
1.99472636815920e+008	(-1.76987272194253e+001dB,8.06888862292544e+001°)	(-1.10791340812381e-001dB,-7.48517146748851e+000°)	(-1.10791340812380e-001dB,-7.48517146748851e+000°)	(-1.76987272194254e+001dB,8.06888862292544e+001°)
2.13649253731343e+008	(-1.71127399454086e+001dB,8.02414249836777e+001°)	(-1.22557031282106e-001dB,-8.01123863874973e+000°)	(-1.22557031282104e-001dB,-8.01123863874973e+000°)	(-1.71127399454096e+001dB,8.02414249836777e+001°)
2.27825870646766e+008	(-1.65655985397477e+001dB,7.97865600963674e+001°)	(-1.35016246509555e-001dB,-8.53619684721764e+000°)	(-1.35016246509556e-001dB,-8.53619684721764e+000°)	(-1.65655985397488e+001dB,7.97865600963673e+001°)
2.42002487562189e+008	(-1.60526816322409e+001dB,7.93257333201190e+001°)	(-1.48167572839061e-001dB,-9.05998581404750e+000°)	(-1.48167572839059e-001dB,-9.05998581404750e+000°)	(-1.60526816322415e+001dB,7.93257333201192e+001°)
2.56179104477612e+008	(-1.55701562237147e+001dB,7.88600953871346e+001°)	(-1.62008996416570e-001dB,-9.58254595580007e+000°)	(-1.62008996416574e-001dB,-9.58254595580007e+000°)	(-1.55701562237160e+001dB,7.88600953871345e+001°)
2.70355721393035e+008	(-1.51148077653114e+001dB,7.83905792299607e+001°)	(-1.76537983523126e-001dB,-1.01038184587915e+001°)	(-1.76537983523123e-001dB,-1.01038184587915e+001°)	(-1.51148077653125e+001dB,7.83905792299607e+001°)
2.84532338308458e+008	(-1.46839136734402e+001dB,7.79179519278723e+001°)	(-1.91751543676898e-001dB,-1.06237453455752e+001°)	(-1.91751543676897e-001dB,-1.06237453455752e+001°)	(-1.46839136734409e+001dB,7.79179519278724e+001°)
2.98708955223881e+008	(-1.42751476037685e+001dB,7.74428522846025e+001°)	(-2.07646280236384e-001dB,-1.11422695348794e+001°)	(-2.07646280236384e-001dB,-1.11422695348794e+001°)	(-1.42751476037691e+001dB,7.74428522846024e+001°)
3.12885572139303e+008	(-1.38865059241019e+001dB,7.69658184876123e+001°)	(-2.24218431776209e-001dB,-1.16593348959566e+001°)	(-2.24218431776206e-001dB,-1.16593348959566e+001°)	(-1.38865059241021e+001dB,7.69658184876123e+001°)
3.27062189054726e+008	(-1.35162504823738e+001dB,7.64873087862786e+001°)	(-2.41463906548980e-001dB,-1.21748862980539e+001°)	(-2.41463906548980e-001dB,-1.21748862980539e+001°)	(-1.35162504823750e+001dB,7.64873087862786e+001°)
3.41238805970149e+008	(-1.31628635201743e+001dB,7.60077171697907e+001°)	(-2.59378311698575e-001dB,-1.26888696555432e+001°)	(-2.59378311698580e-001dB,-1.26888696555432e+001°)	(-1.31628635201749e+001dB,7.60077171697906e+001°)
3.55415422885572e+008	(-1.28250117649318e+001dB,7.55273854061614e+001°)	(-2.77956978429358e-001dB,-1.32012319691078e+001°)	(-2.77956978429359e-001dB,-1.32012319691078e+001°)	(-1.28250117649321e+001dB,7.55273854061614e+001°)
3.69592039800995e+008	(-1.25015175464137e+001dB,7.50466123951429e+001°)	(-2.97194984035804e-001dB,-1.37119213633172e+001°)	(-2.97194984035804e-001dB,-1.37119213633172e+001°)	(-1.25015175464150e+001dB,7.50466123951429e+001°)
3.83768656716418e+008	(-1.21913353509334e+001dB,7.45656615119087e+001°)	(-3.17087171456228e-001dB,-1.42208871208298e+001°)	(-3.17087171456225e-001dB,-1.42208871208298e+001°)	(-1.21913353509341e+001dB,7.45656615119088e+001°)
3.97945273631841e+008	(-1.18935326296088e+001dB,7.40847664297489e+001°)	(-3.37628166854563e-001dB,-1.47280797134244e+001°)	(-3.37628166854563e-001dB,-1.47280797134244e+001°)	(-1.18935326296102e+001dB,7.40847664297490e+001°)
4.12121890547263e+008	(-1.16072739671320e+001dB,7.36041357788353e+001°)	(-3.58812395624156e-001dB,-1.52334508300373e+001°)	(-3.58812395624153e-001dB,-1.52334508300373e+001°)	(-1.16072739671334e+001dB,7.36041357788353e+001°)
4.26298507462686e+008	(-1.13318079290307e+001dB,7.31239569048807e+001°)	(-3.80634097100269e-001dB,-1.57369534019300e+001°)	(-3.80634097100270e-001dB,-1.57369534019300e+001°)	(-1.13318079290314e+001dB,7.31239569048807e+001°)
4.40475124378109e+008	(-1.10664560616434e+001dB,7.26443989254372e+001°)	(-4.03087338216675e-001dB,-1.62385416251173e+001°)	(-4.03087338216676e-001dB,-1.62385416251173e+001°)	(-1.10664560616446e+001dB,7.26443989254371e+001°)
4.54651741293532e+008	(-1.08106036356142e+001dB,7.21656152332653e+001°)	(-4.26166026284716e-001dB,-1.67381709801586e+001°)	(-4.26166026284717e-001dB,-1.67381709801586e+001°)	(-1.08106036356159e+001dB,7.21656152332653e+001°)
4.68828358208955e+008	(-1.05636918116602e+001dB,7.16877455608472e+001°)	(-4.49863921031688e-001dB,-1.72357982494054e+001°)	(-4.49863921031687e-001dB,-1.72357982494054e+001°)	(-1.05636918116606e+001dB,7.16877455608472e+001°)
4.83004975124378e+008	(-1.03252109743695e+001dB,7.12109176940103e+001°)	(-4.74174646008431e-001dB,-1.77313815317910e+001°)	(-4.74174646008428e-001dB,-1.77313815317910e+001°)	(-1.03252109743699e+001dB,7.12109176940103e+001°)
