Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
1.00000000000000e+006	(-5.27937549622580e+001dB,1.58349030584965e+001°)	(-1.91763429895104e-002dB,-3.59206112103048e-002°)	(-1.91763429895133e-002dB,-3.59206112103050e-002°)	(-5.27937549622574e+001dB,1.58349030584915e+001°)
1.00925288607668e+006	(-5.27827058526612e+001dB,1.59644156519374e+001°)	(-1.91883758633195e-002dB,-3.62529303638985e-002°)	(-1.91883758633175e-002dB,-3.62529303638986e-002°)	(-5.27827058526573e+001dB,1.59644156519245e+001°)
1.01859138805412e+006	(-5.27715469196238e+001dB,1.60948356449661e+001°)	(-1.92004647070877e-002dB,-3.65883237346407e-002°)	(-1.92004647070887e-002dB,-3.65883237346406e-002°)	(-5.27715469196219e+001dB,1.60948356449515e+001°)
1.02801629812647e+006	(-5.27602768592765e+001dB,1.62261662346714e+001°)	(-1.92126097849454e-002dB,-3.69268197471940e-002°)	(-1.92126097849454e-002dB,-3.69268197471940e-002°)	(-5.27602768592770e+001dB,1.62261662346791e+001°)
1.03752841581801e+006	(-5.27488943559453e+001dB,1.63584105497144e+001°)	(-1.92248113639516e-002dB,-3.72684471099797e-002°)	(-1.92248113639526e-002dB,-3.72684471099798e-002°)	(-5.27488943559460e+001dB,1.63584105497182e+001°)
1.04712854805090e+006	(-5.27373980822139e+001dB,1.64915716624916e+001°)	(-1.92370697156383e-002dB,-3.76132347868700e-002°)	(-1.92370697156344e-002dB,-3.76132347868701e-002°)	(-5.27373980822189e+001dB,1.64915716624960e+001°)
1.05681750921366e+006	(-5.27257866949711e+001dB,1.66256525808440e+001°)	(-1.92493851065536e-002dB,-3.79612119967390e-002°)	(-1.92493851065527e-002dB,-3.79612119967389e-002°)	(-5.27257866949686e+001dB,1.66256525808421e+001°)
1.06659612123026e+006	(-5.27140588430737e+001dB,1.67606562403665e+001°)	(-1.92617578147555e-002dB,-3.83124082620688e-002°)	(-1.92617578147584e-002dB,-3.83124082620689e-002°)	(-5.27140588430755e+001dB,1.67606562403647e+001°)
1.07646521362984e+006	(-5.27022131563355e+001dB,1.68965855131494e+001°)	(-1.92741881063086e-002dB,-3.86668533394306e-002°)	(-1.92741881063115e-002dB,-3.86668533394308e-002°)	(-5.27022131563306e+001dB,1.68965855131237e+001°)
1.08642562361707e+006	(-5.26902482591514e+001dB,1.70334432027100e+001°)	(-1.92866762652981e-002dB,-3.90245772888842e-002°)	(-1.92866762652952e-002dB,-3.90245772888841e-002°)	(-5.26902482591550e+001dB,1.70334432027244e+001°)
