Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
1.00000000000000e+006	2.20551885903864e-003,6.25550304473109e-004	9.97794481141002e-001,-6.25550304493703e-004	9.97794481141001e-001,-6.25550304493706e-004	2.20551885903886e-003,6.25550304472963e-004
1.00925288607668e+006	2.20690478377450e-003,6.31336701159154e-004	9.97793095216541e-001,-6.31336701117657e-004	9.97793095216541e-001,-6.31336701117660e-004	2.20690478377561e-003,6.31336701158936e-004
1.01859138805412e+006	2.20829720341720e-003,6.37176614245835e-004	9.97791702796702e-001,-6.37176614306009e-004	9.97791702796702e-001,-6.37176614306008e-004	2.20829720341786e-003,6.37176614245416e-004
1.02801629812647e+006	2.20969615006728e-003,6.43070538763798e-004	9.97790303849912e-001,-6.43070538709723e-004	9.97790303849912e-001,-6.43070538709723e-004	2.20969615006705e-003,6.43070538764058e-004
1.03752841581801e+006	2.21110165582838e-003,6.49018973957141e-004	9.97788898344236e-001,-6.49018973915522e-004	9.97788898344236e-001,-6.49018973915524e-004	2.21110165582816e-003,6.49018973957233e-004
1.04712854805090e+006	2.21251375263654e-003,6.55022423858522e-004	9.97787486247204e-001,-6.55022423952705e-004	9.97787486247204e-001,-6.55022423952706e-004	2.21251375263520e-003,6.55022423858309e-004
1.05681750921366e+006	2.21393247334056e-003,6.61081397382820e-004	9.97786067526893e-001,-6.61081397285946e-004	9.97786067526893e-001,-6.61081397285944e-004	2.21393247334123e-003,6.61081397382941e-004
1.06659612123026e+006	2.21535784982208e-003,6.67196407569162e-004	9.97784642150035e-001,-6.67196407660420e-004	9.97784642150034e-001,-6.67196407660421e-004	2.21535784982163e-003,6.67196407568951e-004
1.07646521362984e+006	2.21678991568530e-003,6.73367972874757e-004	9.97783210084712e-001,-6.73367972892860e-004	9.97783210084712e-001,-6.73367972892863e-004	2.21678991568686e-003,6.73367972874141e-004
1.08642562361707e+006	2.21822870282473e-003,6.79596616056963e-004	9.97781771296915e-001,-6.79596616077719e-004	9.97781771296915e-001,-6.79596616077719e-004	2.21822870282362e-003,6.79596616057231e-004
1.09647819614319e+006	2.21967424535352e-003,6.85882864941763e-004	9.97780325754476e-001,-6.85882864909258e-004	9.97780325754477e-001,-6.85882864909258e-004	2.21967424535263e-003,6.85882864942139e-004
1.10662378397767e+006	2.22112657624574e-003,6.92227252190191e-004	9.97778873423699e-001,-6.92227252001096e-004	9.97778873423700e-001,-6.92227252001097e-004	2.22112657624551e-003,6.92227252191100e-004
1.11686324778056e+006	2.22258572888445e-003,6.98630315084613e-004	9.97777414270909e-001,-6.98630315193292e-004	9.97777414270909e-001,-6.98630315193296e-004	2.22258572888334e-003,6.98630315084423e-004
1.12719745617551e+006	2.22405173704976e-003,7.05092596590949e-004	9.97775948262437e-001,-7.05092596576580e-004	9.97775948262437e-001,-7.05092596576580e-004	2.22405173704776e-003,7.05092596591749e-004
1.13762728582343e+006	2.22552463504155e-003,7.11614643945482e-004	9.97774475364739e-001,-7.11614644003974e-004	9.97774475364739e-001,-7.11614644003975e-004	2.22552463504089e-003,7.11614643945546e-004
1.14815362149688e+006	2.22700445670876e-003,7.18197009934058e-004	9.97772995543418e-001,-7.18197009897378e-004	9.97772995543418e-001,-7.18197009897380e-004	2.22700445670876e-003,7.18197009934042e-004
1.15877735615513e+006	2.22849123618563e-003,7.24840252188874e-004	9.97771508763966e-001,-7.24840252048639e-004	9.97771508763966e-001,-7.24840252048641e-004	2.22849123618607e-003,7.24840252189281e-004
1.16949939101987e+006	2.22998500809179e-003,7.31544933455819e-004	9.97770014991950e-001,-7.31544933445898e-004	9.97770014991950e-001,-7.31544933445896e-004	2.22998500809179e-003,7.31544933455795e-004
1.18032063565173e+006	2.23148580720500e-003,7.38311622036316e-004	9.97768514192689e-001,-7.38311621924721e-004	9.97768514192689e-001,-7.38311621924719e-004	2.23148580720478e-003,7.38311622036963e-004
